"dataset","stage","n_features","vertex_count","n_regions","w_bar_m","R_local_m","ratio","alpha_r_m","alpha_l_m","p","runtime_seconds"
"New Jersey","formula",564,504918,3,3943.93149409536,62413.0767516751,15.825091496928,6831.08972934419,10001.9779014139,1.25,2.81
"Pennsylvania","formula",2572,1077500,6,6724.6940432695,116085.972828571,17.2626400668381,20174.0821298085,12447.0060820638,1.25,6.06
"Ohio","formula",1602,643009,5,9258.21541965374,119635.970193418,12.9221415543485,23626.5252918773,17472.7965429219,1.25,4.1
"Michigan","formula",1540,390111,4,10829.4652215701,192886.237627922,17.8112430929397,22972.7648843884,22176.8086844196,1.25,2.37
"Kentucky","formula",493,954692,5,15968.1404019239,135148.362113666,8.46362561399968,40749.9346223263,30705.707872225,1.25,4.61
"Illinois","formula",1694,669863,4,10876.6885970877,178830.500984464,16.4416310523358,23072.9407915653,19582.2838890802,1.25,3.96
"North Dakota","formula",1761,457707,3,10874.6082217406,203956.414517413,18.7552884994663,18835.3739524609,18231.7953235151,1.25,2.74
"North Carolina","formula",1041,1286271,3,11746.3965613305,179411.074672143,15.273711706854,20345.3556500768,23077.0492897525,1.25,6.76
"Virginia","formula",582,1291304,5,14448.2790636147,145429.583587943,10.0655298079188,36871.3207942791,30946.2950549177,1.25,6.15
"Texas","formula",862,2091146,6,26347.859350316,225608.300150104,8.56268044968891,79043.5780509481,39664.7905014933,1.25,10.53
"Florida","formula",316,476855,4,22476.6539060063,170093.188966138,7.56754940826337,47680.1831859604,43617.4650947437,1.25,2.31999999999999
