"label","n_units","n_regions","w_bar_km","R_local_km","ratio","alpha_r","alpha_l","gamma_r_implied","gamma_l_implied"
"New Jersey",564,3,3.94,62.4,15.83,6831,10002,3,1.136
"Pennsylvania",2572,6,6.72,116.1,17.26,20174,12447,3,1.136
"Ohio",1602,5,9.26,119.6,12.92,23627,17473,3,1.136
"Michigan",1540,4,10.83,192.9,17.81,22973,22177,3,1.136
"Kentucky",493,5,15.97,135.1,8.46,40750,30706,3,1.136
"Illinois",1694,4,10.88,178.8,16.44,23073,19582,3,1.136
"North Dakota",1761,3,10.87,204,18.76,18835,18232,3,1.136
"North Carolina",1041,3,11.75,179.4,15.27,20345,23077,3,1.136
"Virginia",582,5,14.45,145.4,10.07,36871,30946,3,1.136
"Texas",862,6,26.35,225.6,8.56,79044,39665,3,1.136
"Florida",316,4,22.48,170.1,7.57,47680,43617,3,1.136
