"state","features","regions","invalid","max_region_overlap_m2","max_region_overlap_pct","overlap_pair","width_m","height_m"
"ak",29,4,0,7460786932.15,0.488144,"Northwest|Southeast",4608943,2690177
"al",67,4,0,0,0,"",502438,775609
"ar",75,4,0,0,0,"",656349,600740
"az",80,3,0,0,0,"",811735,929693
"ca",404,5,0,11169468136.21,2.627046,"CentralValley|SoCal",1090334,1203828
"co",209,3,0,1689795307.84,0.626776,"East|Front Range & Mountains",803233,598471
"ct",8,3,0,0,0,"",321471,237725
"de",3,3,0,0,0,"",117297,304011
"fl",316,4,0,4172170416.3,2.256268,"Central|South",870010,864805
"ga",586,5,0,69220511.31,0.044944,"North|West",538055,638488
"hi",5,3,0,0,0,"",698845,452804
"ia",99,4,0,0,0,"",748279,487520
"id",44,3,0,0,0,"",728310,1097080
"il",1694,4,0,122662018.04,0.084138,"CentralSouth|South",388169,694293
"in",1010,4,0,15219093.9,0.016251,"East|North",332301,514076
"ks",105,3,0,0,0,"",882695,477342
"ky",493,5,0,669785593.37,0.63981,"Bluegrass|Central",813263,366710
"la",64,4,0,0,0,"",706372,655489
"ma",351,4,0,89003119.64,0.38135,"Northeast|Southeast",357635,223086
"md",24,3,2,0,0,"",536385,342401
"me",16,3,0,0,0,"",533537,829632
"mi",1540,4,0,64546440.36,0.040509,"Northern|UpperPeninsula",695570,799379
"mn",2756,4,0,42026230.07,0.019221,"Central|South",624037,719237
"mo",1423,5,0,1470678351.64,0.808919,"Central|South",658792,587427
"ms",82,3,0,0,0,"",475807,743387
"mt",56,3,0,0,0,"",1336603,800484
"nc",1041,3,0,2964238575.17,2.125782,"Mountains|Piedmont",889776,344372
"nd",1761,3,0,3653387709.67,1.99674,"Central|East",635565,384534
"ne",93,3,0,0,0,"",946438,441398
"nh",10,3,0,0,0,"",269983,521000
"nj",564,3,0,454150659.8,2.22981,"Central|North",160397,298520
"nm",33,3,1,0,0,"",960127,1040246
"nv",71,3,0,0,0,"",790183,1137994
"ny",1014,5,0,2071417195.18,1.578258,"Central|West",752225,578918
"oh",1602,5,0,815239141.33,0.745166,"Central|Southwest",430032,484981
"ok",77,4,0,0,0,"",1052468,536631
"or",212,4,0,1334279.89,0.000523,"South|West",826296,619688
"pa",2572,6,0,870149042.18,0.741599,"Central|Northeast",556061,332787
"ri",5,3,0,0,0,"",114041,182506
"sc",299,4,0,841704898.36,1.015423,"Central|Northwest",558747,447394
"sd",66,3,0,0,0,"",870072,538747
"tn",844,3,0,3273625606.55,2.999703,"Middle|West",862758,216428
"tx",862,6,0,4251879267.46,0.610562,"Central|NorthCentral",1471037,1404010
"ut",93,4,0,0,0,"",672987,830086
"va",582,5,0,1438969928.78,1.246111,"Southwest|Tidewater",880542,400724
"vt",14,3,0,0,0,"",286266,489557
"wa",242,4,0,134275792.01,0.07267,"Central|East",773964,508607
"wi",72,4,0,0,0,"",702471,747371
"wv",55,3,0,27205908.6,0.043393,"Central|East",581463,538902
"wy",23,3,0,0,0,"",1066160,821911
