"case","title","helper_url","offset_file"
"az","Arizona","http://127.0.0.1:8765/drag_helpers/az/index.html","paper/outputs/tables/az_drag_offsets.csv"
"ca","California","http://127.0.0.1:8765/drag_helpers/ca/index.html","paper/outputs/tables/ca_drag_offsets.csv"
"canada","Canada CSDs excluding territories","http://127.0.0.1:8765/drag_helpers/canada/index.html","paper/outputs/tables/canada_drag_offsets.csv"
"co","Colorado","http://127.0.0.1:8765/drag_helpers/co/index.html","paper/outputs/tables/co_drag_offsets.csv"
"fl","Florida","http://127.0.0.1:8765/drag_helpers/fl/index.html","paper/outputs/tables/fl_drag_offsets.csv"
"ga","Georgia","http://127.0.0.1:8765/drag_helpers/ga/index.html","paper/outputs/tables/ga_drag_offsets.csv"
"germany","Germany administrative districts","http://127.0.0.1:8765/drag_helpers/germany/index.html","paper/outputs/tables/germany_drag_offsets.csv"
"il","Illinois","http://127.0.0.1:8765/drag_helpers/il/index.html","paper/outputs/tables/il_drag_offsets.csv"
"in","Indiana","http://127.0.0.1:8765/drag_helpers/in/index.html","paper/outputs/tables/in_drag_offsets.csv"
"ky","Kentucky","http://127.0.0.1:8765/drag_helpers/ky/index.html","paper/outputs/tables/ky_drag_offsets.csv"
"ma","Massachusetts","http://127.0.0.1:8765/drag_helpers/ma/index.html","paper/outputs/tables/ma_drag_offsets.csv"
"mi","Michigan","http://127.0.0.1:8765/drag_helpers/mi/index.html","paper/outputs/tables/mi_drag_offsets.csv"
"mn","Minnesota","http://127.0.0.1:8765/drag_helpers/mn/index.html","paper/outputs/tables/mn_drag_offsets.csv"
"mo","Missouri","http://127.0.0.1:8765/drag_helpers/mo/index.html","paper/outputs/tables/mo_drag_offsets.csv"
"nc","North Carolina","http://127.0.0.1:8765/drag_helpers/nc/index.html","paper/outputs/tables/nc_drag_offsets.csv"
"nd","North Dakota","http://127.0.0.1:8765/drag_helpers/nd/index.html","paper/outputs/tables/nd_drag_offsets.csv"
"nj","New Jersey","http://127.0.0.1:8765/drag_helpers/nj/index.html","paper/outputs/tables/nj_drag_offsets.csv"
"nv","Nevada","http://127.0.0.1:8765/drag_helpers/nv/index.html","paper/outputs/tables/nv_drag_offsets.csv"
"ny","New York","http://127.0.0.1:8765/drag_helpers/ny/index.html","paper/outputs/tables/ny_drag_offsets.csv"
"oh","Ohio","http://127.0.0.1:8765/drag_helpers/oh/index.html","paper/outputs/tables/oh_drag_offsets.csv"
"or","Oregon","http://127.0.0.1:8765/drag_helpers/or/index.html","paper/outputs/tables/or_drag_offsets.csv"
"pa","Pennsylvania","http://127.0.0.1:8765/drag_helpers/pa/index.html","paper/outputs/tables/pa_drag_offsets.csv"
"sc","South Carolina","http://127.0.0.1:8765/drag_helpers/sc/index.html","paper/outputs/tables/sc_drag_offsets.csv"
"tn","Tennessee","http://127.0.0.1:8765/drag_helpers/tn/index.html","paper/outputs/tables/tn_drag_offsets.csv"
"tx","Texas","http://127.0.0.1:8765/drag_helpers/tx/index.html","paper/outputs/tables/tx_drag_offsets.csv"
"ut","Utah","http://127.0.0.1:8765/drag_helpers/ut/index.html","paper/outputs/tables/ut_drag_offsets.csv"
"va","Virginia","http://127.0.0.1:8765/drag_helpers/va/index.html","paper/outputs/tables/va_drag_offsets.csv"
"wa","Washington","http://127.0.0.1:8765/drag_helpers/wa/index.html","paper/outputs/tables/wa_drag_offsets.csv"
