"state","stage_formula","features_formula","regions_formula","invalid_formula","has_offset_file_formula","nonzero_offsets_formula","mean_offset_m_formula","max_offset_m_formula","max_overlap_m2_formula","max_overlap_pct_formula","overlap_pair_formula","stage_manual","features_manual","regions_manual","invalid_manual","has_offset_file_manual","nonzero_offsets_manual","mean_offset_m_manual","max_offset_m_manual","max_overlap_m2_manual","max_overlap_pct_manual","overlap_pair_manual","overlap_delta_pct","status"
"ak","formula",29,4,0,TRUE,0,0,0,7460786932.15,0.488144,"Northwest|Southeast","manual_offsets",29,4,0,TRUE,0,0,0,7460786932.15,0.488144,"Northwest|Southeast",0,"ok"
"al","formula",67,4,0,TRUE,0,0,0,0,0,"","manual_offsets",67,4,0,TRUE,0,0,0,0,0,"",0,"ok"
"ar","formula",75,4,0,TRUE,0,0,0,0,0,"","manual_offsets",75,4,0,TRUE,0,0,0,0,0,"",0,"ok"
"az","formula",80,3,0,TRUE,0,0,0,0,0,"","manual_offsets",80,3,0,TRUE,0,0,0,0,0,"",0,"ok"
"ca","formula",404,5,0,TRUE,5,61157,113916,11169468136.21,2.627046,"CentralValley|SoCal","manual_offsets",404,5,0,TRUE,5,61157,113916,675403101.8,0.158854,"BayArea|CentralValley",-2.468192,"ok"
"co","formula",209,3,0,TRUE,3,48612,96594,1689795307.84,0.626776,"East|Front Range & Mountains","manual_offsets",209,3,0,TRUE,3,48612,96594,0,0,"",-0.626776,"ok"
"ct","formula",8,3,0,TRUE,0,0,0,0,0,"","manual_offsets",8,3,0,TRUE,0,0,0,0,0,"",0,"ok"
"de","formula",3,3,0,TRUE,0,0,0,0,0,"","manual_offsets",3,3,0,TRUE,0,0,0,0,0,"",0,"ok"
"fl","formula",316,4,0,TRUE,2,28127,62430,4172170416.3,2.256268,"Central|South","manual_offsets",316,4,0,TRUE,2,28127,62430,0,0,"",-2.256268,"ok"
"ga","formula",586,5,0,TRUE,3,5519,10324,69220511.31,0.044944,"North|West","manual_offsets",586,5,0,TRUE,3,5519,10324,0,0,"",-0.044944,"ok"
"hi","formula",5,3,0,TRUE,0,0,0,0,0,"","manual_offsets",5,3,0,TRUE,0,0,0,0,0,"",0,"ok"
"ia","formula",99,4,0,TRUE,0,0,0,0,0,"","manual_offsets",99,4,0,TRUE,0,0,0,0,0,"",0,"ok"
"id","formula",44,3,0,TRUE,0,0,0,0,0,"","manual_offsets",44,3,0,TRUE,0,0,0,0,0,"",0,"ok"
"il","formula",1694,4,0,TRUE,3,10026,18803,122662018.04,0.084138,"CentralSouth|South","manual_offsets",1694,4,0,TRUE,3,10026,18803,0,0,"",-0.084138,"ok"
"in","formula",1010,4,0,TRUE,3,7733,13635,15219093.9,0.016251,"East|North","manual_offsets",1010,4,0,TRUE,3,7733,13635,0,0,"",-0.016251,"ok"
"ks","formula",105,3,0,TRUE,0,0,0,0,0,"","manual_offsets",105,3,0,TRUE,0,0,0,0,0,"",0,"ok"
"ky","formula",493,5,0,TRUE,5,30819,44527,669785593.37,0.63981,"Bluegrass|Central","manual_offsets",493,5,0,TRUE,5,30819,44527,0,0,"",-0.63981,"ok"
"la","formula",64,4,0,TRUE,0,0,0,0,0,"","manual_offsets",64,4,0,TRUE,0,0,0,0,0,"",0,"ok"
