"state","stage","features","regions","invalid","has_offset_file","nonzero_offsets","mean_offset_m","max_offset_m","max_overlap_m2","max_overlap_pct","overlap_pair"
"ak","formula",29,4,0,TRUE,0,0,0,7460786932.15,0.488144,"Northwest|Southeast"
"al","formula",67,4,0,TRUE,0,0,0,0,0,""
"ar","formula",75,4,0,TRUE,0,0,0,0,0,""
"az","formula",80,3,0,TRUE,0,0,0,0,0,""
"ca","formula",404,5,0,TRUE,5,61157,113916,11169468136.21,2.627046,"CentralValley|SoCal"
"co","formula",209,3,0,TRUE,3,48612,96594,1689795307.84,0.626776,"East|Front Range & Mountains"
"ct","formula",8,3,0,TRUE,0,0,0,0,0,""
"de","formula",3,3,0,TRUE,0,0,0,0,0,""
"fl","formula",316,4,0,TRUE,2,28127,62430,4172170416.3,2.256268,"Central|South"
"ga","formula",586,5,0,TRUE,3,5519,10324,69220511.31,0.044944,"North|West"
"hi","formula",5,3,0,TRUE,0,0,0,0,0,""
"ia","formula",99,4,0,TRUE,0,0,0,0,0,""
"id","formula",44,3,0,TRUE,0,0,0,0,0,""
"il","formula",1694,4,0,TRUE,3,10026,18803,122662018.04,0.084138,"CentralSouth|South"
"in","formula",1010,4,0,TRUE,3,7733,13635,15219093.9,0.016251,"East|North"
"ks","formula",105,3,0,TRUE,0,0,0,0,0,""
"ky","formula",493,5,0,TRUE,5,30819,44527,669785593.37,0.63981,"Bluegrass|Central"
"la","formula",64,4,0,TRUE,0,0,0,0,0,""
"ma","formula",351,4,0,TRUE,4,8588,16425,89003119.64,0.38135,"Northeast|Southeast"
"md","formula",24,3,2,TRUE,0,0,0,0,0,""
"me","formula",16,3,0,TRUE,0,0,0,0,0,""
"mi","formula",1540,4,0,TRUE,1,4573,18292,64546440.36,0.040509,"Northern|UpperPeninsula"
"mn","formula",2756,4,0,TRUE,2,11917,36582,42026230.07,0.019221,"Central|South"
"mo","formula",1423,5,0,TRUE,4,17321,37739,1470678351.64,0.808919,"Central|South"
"ms","formula",82,3,0,TRUE,0,0,0,0,0,""
"mt","formula",56,3,0,TRUE,0,0,0,0,0,""
"nc","formula",1041,3,0,TRUE,3,22044,36849,2964238575.17,2.125782,"Mountains|Piedmont"
"nd","formula",1761,3,0,TRUE,3,21205,37282,3653387709.67,1.99674,"Central|East"
"ne","formula",93,3,0,TRUE,0,0,0,0,0,""
"nh","formula",10,3,0,TRUE,0,0,0,0,0,""
"nj","formula",564,3,0,TRUE,3,14331,19909,454150659.8,2.22981,"Central|North"
"nm","formula",33,3,1,TRUE,0,0,0,0,0,""
"nv","formula",71,3,0,TRUE,0,0,0,0,0,""
"ny","formula",1014,5,0,TRUE,4,20479,42387,2071417195.18,1.578258,"Central|West"
"oh","formula",1602,5,0,TRUE,3,9215,22839,815239141.33,0.745166,"Central|Southwest"
"ok","formula",77,4,0,TRUE,0,0,0,0,0,""
"or","formula",212,4,0,TRUE,0,0,0,1334279.89,0.000523,"South|West"
"pa","formula",2572,6,0,TRUE,6,19847,29696,870149042.18,0.741599,"Central|Northeast"
"ri","formula",5,3,0,TRUE,0,0,0,0,0,""
"sc","formula",299,4,0,TRUE,2,15332,38094,841704898.36,1.015423,"Central|Northwest"
"sd","formula",66,3,0,TRUE,0,0,0,0,0,""
"tn","formula",844,3,0,TRUE,2,16308,46223,3273625606.55,2.999703,"Middle|West"
"tx","formula",862,6,0,TRUE,5,37357,96274,4251879267.46,0.610562,"Central|NorthCentral"
"ut","formula",93,4,0,TRUE,0,0,0,0,0,""
"va","formula",582,5,0,TRUE,2,14486,64727,1438969928.78,1.246111,"Southwest|Tidewater"
"vt","formula",14,3,0,TRUE,0,0,0,0,0,""
"wa","formula",242,4,0,TRUE,3,9426,16396,134275792.01,0.07267,"Central|East"
"wi","formula",72,4,0,TRUE,0,0,0,0,0,""
"wv","formula",55,3,0,TRUE,0,0,0,27205908.6,0.043393,"Central|East"
"wy","formula",23,3,0,TRUE,0,0,0,0,0,""
"ak","manual_offsets",29,4,0,TRUE,0,0,0,7460786932.15,0.488144,"Northwest|Southeast"
"al","manual_offsets",67,4,0,TRUE,0,0,0,0,0,""
"ar","manual_offsets",75,4,0,TRUE,0,0,0,0,0,""
"az","manual_offsets",80,3,0,TRUE,0,0,0,0,0,""
"ca","manual_offsets",404,5,0,TRUE,5,61157,113916,675403101.8,0.158854,"BayArea|CentralValley"
"co","manual_offsets",209,3,0,TRUE,3,48612,96594,0,0,""
"ct","manual_offsets",8,3,0,TRUE,0,0,0,0,0,""
"de","manual_offsets",3,3,0,TRUE,0,0,0,0,0,""
"fl","manual_offsets",316,4,0,TRUE,2,28127,62430,0,0,""
"ga","manual_offsets",586,5,0,TRUE,3,5519,10324,0,0,""
"hi","manual_offsets",5,3,0,TRUE,0,0,0,0,0,""
"ia","manual_offsets",99,4,0,TRUE,0,0,0,0,0,""
"id","manual_offsets",44,3,0,TRUE,0,0,0,0,0,""
"il","manual_offsets",1694,4,0,TRUE,3,10026,18803,0,0,""
"in","manual_offsets",1010,4,0,TRUE,3,7733,13635,0,0,""
"ks","manual_offsets",105,3,0,TRUE,0,0,0,0,0,""
"ky","manual_offsets",493,5,0,TRUE,5,30819,44527,0,0,""
"la","manual_offsets",64,4,0,TRUE,0,0,0,0,0,""
"ma","manual_offsets",351,4,0,TRUE,4,8588,16425,0,0,""
"md","manual_offsets",24,3,2,TRUE,0,0,0,0,0,""
"me","manual_offsets",16,3,0,TRUE,0,0,0,0,0,""
"mi","manual_offsets",1540,4,0,TRUE,1,4573,18292,50985674.54,0.031999,"Metro|Northern"
"mn","manual_offsets",2756,4,0,TRUE,2,11917,36582,4479559733.8,2.048746,"Metro|North"
"mo","manual_offsets",1423,5,0,TRUE,4,17321,37739,0,0,""
"ms","manual_offsets",82,3,0,TRUE,0,0,0,0,0,""
"mt","manual_offsets",56,3,0,TRUE,0,0,0,0,0,""
"nc","manual_offsets",1041,3,0,TRUE,3,22044,36849,0,0,""
"nd","manual_offsets",1761,3,0,TRUE,3,21205,37282,8551505.44,0.004674,"Central|West"
"ne","manual_offsets",93,3,0,TRUE,0,0,0,0,0,""
"nh","manual_offsets",10,3,0,TRUE,0,0,0,0,0,""
"nj","manual_offsets",564,3,0,TRUE,3,14331,19909,0,0,""
"nm","manual_offsets",33,3,1,TRUE,0,0,0,0,0,""
