"hhs_region","block_radius","n_units","cx","cy","anchor_x","anchor_y","target_x","target_y"
"1",401607.004624892,6,1998782.73015231,2609947.89251808,4376925.58669794,2671543.79140597,4376925.58669794,2671543.79140597
"10",2429204.61308277,4,-2749070.47058265,4594089.100606,-4364714.35081821,6321862.78754588,-4364714.35081821,6321862.78754588
"2",2721228.15605771,4,1802122.90531865,2140926.0140688,4014996.16668415,1807510.44603375,4014996.16668415,1807510.44603375
"3",317036.805858733,6,1490909.0480799,1927155.09457595,3458875.94118498,1409168.31402935,3458875.94118498,1409168.31402935
"4",633632.061252729,8,1092358.84279633,1202037.2949235,2728212.46587687,63418.8307715412,2728212.46587687,63418.8307715412
"5",674657.318975816,6,608886.837865524,2301113.036836,1873578.87876007,2093278.07092608,1873578.87876007,2093278.07092608
"6",798884.881465036,5,-294650.950395557,1105805.80951527,170141.126398808,-147599.274427964,170141.126398808,-147599.274427964
"7",472136.046719543,4,-27013.4902412606,1890665.53719569,698817.211598297,1303173.73595525,698817.211598297,1303173.73595525
"8",758245.155165975,6,-844950.940239687,2330734.94208042,-871963.594715865,2047500.39668966,-871963.594715865,2047500.39668966
"9",9528597.73416906,7,-1963733.95173499,1771150.83094959,-2975376.16975904,1090774.54744505,-2975376.16975904,1090774.54744505
