"hhs_region","block_radius","n_units","cx","cy","anchor_x","anchor_y","target_x","target_y",".converged",".iterations"
"1",401607.004624892,6,1998782.73015231,2609947.89251808,4059572.3875807,3218512.84014991,4376925.58669794,2671543.79140597,FALSE,60
"10",2429204.61308277,4,-2749070.47058265,4594089.100606,-3978205.6090011,7766187.07670065,-4364714.35081821,6321862.78754588,FALSE,60
"2",2721228.15605771,4,1802122.90531865,2140926.0140688,5295348.50709845,1417142.60104709,4014996.16668415,1807510.44603375,FALSE,60
"3",317036.805858733,6,1490909.0480799,1927155.09457595,2967816.70751063,1419188.18056056,3458875.94118498,1409168.31402935,FALSE,60
"4",633632.061252729,8,1092358.84279633,1202037.2949235,2867251.52801234,-34979.6302777105,2728212.46587687,63418.8307715412,FALSE,60
"5",674657.318975816,6,608886.837865524,2301113.036836,2175461.57113725,2286919.15849021,1873578.87876007,2093278.07092608,FALSE,60
"6",798884.881465036,5,-294650.950395557,1105805.80951527,1370213.23794715,90223.1042250336,170141.126398808,-147599.274427964,FALSE,60
"7",472136.046719543,4,-27013.4902412606,1890665.53719569,1354530.87102303,1545292.8205936,698817.211598297,1303173.73595525,FALSE,60
"8",758245.155165975,6,-844950.940239687,2330734.94208042,116399.601452282,2637928.06652469,-871963.594715865,2047500.39668966,FALSE,60
"9",9528597.73416906,7,-1963733.95173499,1771150.83094959,-7118895.54085274,-1685782.57163947,-2975376.16975904,1090774.54744505,FALSE,60
