"state","dataset","manual_alpha_r_m","manual_alpha_l_m","manual_protocol","formula_alpha_r_m","formula_alpha_l_m","implied_gamma_r_from_manual","implied_gamma_l_from_manual"
"NJ","New Jersey",6000,10000,"Author-selected visual calibration reference used in the exploratory NJ prototype.",6831,10002,2.63501150082654,1.13577535483198
"PA","Pennsylvania",25000,NA,"PA alpha_r came from exploratory visual tuning; PA alpha_l=40000 was heuristic and is not treated as ground truth.",20174,12447,3.71764125462654,NA
"OH","Ohio",NA,NA,NA,23627,17473,NA,NA
"MI","Michigan",NA,NA,NA,22973,22177,NA,NA
"KY","Kentucky",NA,NA,"County groups were generated reproducibly from county centroid k-means clusters.",40750,30706,NA,NA
"IL","Illinois",NA,NA,"County groups were generated reproducibly from county centroid k-means clusters.",23073,19582,NA,NA
"ND","North Dakota",NA,NA,NA,18835,18232,NA,NA
"NC","North Carolina",NA,NA,NA,20345,23077,NA,NA
"VA","Virginia",NA,NA,"County groups were generated reproducibly from county centroid k-means clusters. Virginia independent cities are included as separate features alongside counties.",36871,30946,NA,NA
"TX","Texas",NA,NA,"County groups were generated reproducibly from county centroid k-means clusters for exploratory cross-state validation.",79044,39665,NA,NA
"FL","Florida",NA,NA,"County groups were generated reproducibly from county centroid k-means clusters for exploratory cross-state validation.",47680,43617,NA,NA
